Object,Filter,MJD,Flux,Error,Tel,Obs
NGC_1365,B,59898.546380, 4.342, 0.018,1m011,coj
NGC_1365,B,59899.277769, 4.467, 0.018,1m004,lsc
NGC_1365,B,59899.278429, 4.406, 0.019,1m004,lsc
NGC_1365,B,59899.632164, 4.301, 0.017,1m003,coj
NGC_1365,B,59899.632825, 4.301, 0.017,1m003,coj
NGC_1365,B,59900.988221, 4.212, 0.023,1m014,tfn
NGC_1365,B,59900.988882, 4.242, 0.023,1m014,tfn
NGC_1365,B,59902.186055, 4.356, 0.014,1m005,lsc
NGC_1365,B,59902.186704, 4.411, 0.014,1m005,lsc
NGC_1365,B,59903.322456, 4.334, 0.016,1m009,lsc
NGC_1365,B,59903.323105, 4.345, 0.016,1m009,lsc
NGC_1365,B,59904.103445, 4.346, 0.018,1m004,lsc
NGC_1365,B,59904.104094, 4.298, 0.018,1m004,lsc
NGC_1365,B,59905.511946, 4.330, 0.026,1m003,coj
NGC_1365,B,59905.512596, 4.242, 0.024,1m003,coj
NGC_1365,B,59906.641368, 4.316, 0.018,1m011,coj
NGC_1365,B,59906.642028, 4.348, 0.018,1m011,coj
NGC_1365,B,59907.343226, 4.363, 0.018,1m009,lsc
NGC_1365,B,59907.343876, 4.342, 0.018,1m009,lsc
NGC_1365,B,59908.329369, 4.273, 0.019,1m004,lsc
NGC_1365,B,59908.330018, 4.238, 0.019,1m004,lsc
NGC_1365,B,59909.338255, 4.323, 0.020,1m004,lsc
NGC_1365,B,59909.338904, 4.351, 0.020,1m004,lsc
NGC_1365,B,59910.311426, 4.276, 0.019,1m004,lsc
NGC_1365,B,59910.312075, 4.283, 0.019,1m004,lsc
NGC_1365,B,59911.464599, 4.253, 0.018,1m011,coj
NGC_1365,B,59911.465248, 4.199, 0.018,1m011,coj
NGC_1365,B,59912.422741, 4.309, 0.020,1m011,coj
NGC_1365,B,59912.999886, 4.349, 0.034,1m012,cpt
NGC_1365,B,59913.000536, 4.230, 0.034,1m012,cpt
NGC_1365,B,59915.081334, 4.259, 0.020,1m004,lsc
NGC_1365,B,59915.081983, 4.268, 0.020,1m004,lsc
NGC_1365,B,59916.176209, 5.514, 0.023,1m009,lsc
NGC_1365,B,59916.176858, 4.370, 0.018,1m009,lsc
NGC_1365,B,59917.822208, 4.531, 0.048,1m012,cpt
NGC_1365,B,59917.822857, 4.511, 0.047,1m012,cpt
NGC_1365,B,59918.169958, 4.411, 0.022,1m004,lsc
NGC_1365,B,59918.170607, 4.384, 0.022,1m004,lsc
NGC_1365,B,59920.028193, 4.475, 0.053,1m010,cpt
NGC_1365,B,59920.028842, 4.377, 0.052,1m010,cpt
NGC_1365,B,59921.165831, 4.340, 0.021,1m005,lsc
NGC_1365,B,59921.166480, 4.376, 0.021,1m005,lsc
NGC_1365,B,59922.037064, 4.480, 0.017,1m005,lsc
NGC_1365,B,59922.037713, 4.407, 0.017,1m005,lsc
NGC_1365,B,59922.924615, 4.379, 0.042,1m010,cpt
NGC_1365,B,59922.925264, 4.443, 0.043,1m010,cpt
NGC_1365,B,59924.155037, 4.339, 0.020,1m004,lsc
NGC_1365,B,59924.155686, 4.335, 0.020,1m004,lsc
NGC_1365,B,59926.285341, 4.326, 0.022,1m004,lsc
NGC_1365,B,59926.285990, 4.325, 0.022,1m004,lsc
NGC_1365,B,59927.468689, 4.341, 0.017,1m003,coj
NGC_1365,B,59927.469338, 4.383, 0.017,1m003,coj
NGC_1365,B,59928.521316, 4.368, 0.018,1m011,coj
NGC_1365,B,59928.521966, 4.353, 0.017,1m011,coj
NGC_1365,B,59929.533798, 4.378, 0.018,1m011,coj
NGC_1365,B,59929.534459, 4.393, 0.018,1m011,coj
NGC_1365,B,59930.596493, 4.327, 0.018,1m011,coj
NGC_1365,B,59930.597153, 4.410, 0.019,1m011,coj
NGC_1365,B,59931.093944, 4.354, 0.015,1m009,lsc
NGC_1365,B,59931.094593, 4.383, 0.015,1m009,lsc
NGC_1365,B,59931.903639, 4.133, 0.025,1m014,tfn
NGC_1365,B,59931.904300, 4.233, 0.026,1m014,tfn
NGC_1365,B,59933.087197, 4.358, 0.016,1m009,lsc
NGC_1365,B,59933.087846, 4.377, 0.016,1m009,lsc
NGC_1365,B,59933.902670, 4.264, 0.023,1m014,tfn
NGC_1365,B,59933.903319, 4.248, 0.023,1m014,tfn
NGC_1365,B,59934.956121, 4.330, 0.034,1m010,cpt
NGC_1365,B,59934.956771, 4.348, 0.034,1m010,cpt
NGC_1365,B,59936.105507, 4.375, 0.014,1m005,lsc
NGC_1365,B,59936.106156, 4.331, 0.014,1m005,lsc
NGC_1365,B,59937.879523, 4.254, 0.105,1m012,cpt
NGC_1365,B,59938.141374, 4.276, 0.018,1m004,lsc
NGC_1365,B,59938.142035, 4.345, 0.018,1m004,lsc
NGC_1365,B,59939.929532, 4.299, 0.033,1m010,cpt
NGC_1365,B,59939.930181, 4.319, 0.033,1m010,cpt
NGC_1365,B,59940.875026, 4.329, 0.034,1m012,cpt
NGC_1365,B,59940.875675, 4.296, 0.034,1m012,cpt
NGC_1365,B,59941.957828, 4.256, 0.035,1m012,cpt
NGC_1365,B,59941.958477, 4.336, 0.035,1m012,cpt
NGC_1365,B,59942.883198, 4.193, 0.038,1m012,cpt
NGC_1365,B,59944.128873, 4.319, 0.018,1m009,lsc
NGC_1365,B,59944.129522, 4.321, 0.018,1m009,lsc
NGC_1365,B,59944.466016, 4.250, 0.020,1m003,coj
NGC_1365,B,59944.466689, 4.297, 0.020,1m003,coj
NGC_1365,B,59945.486511, 4.287, 0.020,1m003,coj
NGC_1365,B,59945.487184, 4.176, 0.020,1m003,coj
NGC_1365,B,59946.892856, 4.271, 0.042,1m012,cpt
NGC_1365,B,59946.893505, 4.254, 0.042,1m012,cpt
NGC_1365,B,59947.477096, 4.254, 0.022,1m011,coj
NGC_1365,B,59947.477745, 4.243, 0.022,1m011,coj
NGC_1365,B,59948.505654, 4.312, 0.021,1m003,coj
NGC_1365,B,59948.506315, 4.326, 0.022,1m003,coj
NGC_1365,B,59950.086047, 4.351, 0.025,1m004,lsc
NGC_1365,B,59950.086696, 4.305, 0.025,1m004,lsc
NGC_1365,B,59951.095166, 4.298, 0.037,1m005,lsc
NGC_1365,B,59951.095818, 4.354, 0.040,1m005,lsc
NGC_1365,B,59952.141436, 4.429, 0.020,1m005,lsc
NGC_1365,B,59952.142085, 4.313, 0.020,1m005,lsc
NGC_1365,B,59953.588152, 4.416, 0.038,1m003,coj
NGC_1365,B,59954.853212, 4.273, 0.035,1m010,cpt
NGC_1365,B,59954.853862, 4.335, 0.035,1m010,cpt
NGC_1365,B,59956.148455, 4.530, 0.018,1m009,lsc
NGC_1365,B,59956.149092, 4.452, 0.018,1m009,lsc
NGC_1365,B,59956.906101, 4.454, 0.021,1m010,cpt
NGC_1365,B,59956.906750, 4.524, 0.021,1m010,cpt
NGC_1365,B,59958.055984, 4.530, 0.016,1m009,lsc
NGC_1365,B,59958.056633, 4.451, 0.016,1m009,lsc
NGC_1365,B,59959.184111, 4.531, 0.018,1m009,lsc
NGC_1365,B,59959.184749, 4.506, 0.017,1m009,lsc
NGC_1365,B,59960.176682, 4.495, 0.016,1m005,lsc
NGC_1365,B,59960.177331, 4.439, 0.015,1m005,lsc
NGC_1365,B,59961.190888, 4.474, 0.018,1m009,lsc
NGC_1365,B,59961.191526, 4.426, 0.018,1m009,lsc
NGC_1365,B,59962.162825, 4.470, 0.020,1m004,lsc
NGC_1365,B,59962.163475, 4.471, 0.020,1m004,lsc
NGC_1365,B,59964.863575, 4.394, 0.016,1m012,cpt
NGC_1365,B,59964.864224, 4.385, 0.016,1m012,cpt
NGC_1365,B,59965.802702, 4.452, 0.016,1m013,cpt
NGC_1365,B,59965.803351, 4.399, 0.016,1m013,cpt
NGC_1365,B,59967.056074, 4.395, 0.018,1m004,lsc
NGC_1365,B,59967.056724, 4.430, 0.018,1m004,lsc
NGC_1365,B,59967.569913, 4.419, 0.020,1m003,coj
NGC_1365,B,59967.570563, 4.427, 0.020,1m003,coj
NGC_1365,B,59968.815944, 4.525, 0.018,1m010,cpt
NGC_1365,B,59968.816594, 4.440, 0.018,1m010,cpt
NGC_1365,B,59970.099779, 4.449, 0.019,1m004,lsc
NGC_1365,B,59970.100428, 4.394, 0.019,1m004,lsc
NGC_1365,B,59970.438996, 4.456, 0.020,1m011,coj
NGC_1365,B,59970.439656, 4.495, 0.020,1m011,coj
NGC_1365,B,59971.846568, 4.323, 0.017,1m013,cpt
NGC_1365,B,59971.847217, 4.399, 0.017,1m013,cpt
NGC_1365,B,59973.128850, 4.332, 0.021,1m004,lsc
NGC_1365,B,59973.129500, 4.381, 0.020,1m004,lsc
NGC_1365,B,59974.104170, 4.353, 0.017,1m005,lsc
NGC_1365,B,59974.104819, 4.408, 0.017,1m005,lsc
NGC_1365,B,59975.067368, 6.499, 0.028,1m009,lsc
NGC_1365,B,59975.068029, 5.990, 0.026,1m009,lsc
NGC_1365,B,59976.052068, 6.698, 0.030,1m009,lsc
NGC_1365,B,59976.052718, 6.091, 0.028,1m009,lsc
NGC_1365,B,59977.470579, 4.443, 0.023,1m011,coj
NGC_1365,B,59977.471228, 4.393, 0.023,1m011,coj
NGC_1365,B,59978.146883, 4.343, 0.028,1m004,lsc
NGC_1365,B,59978.147532, 4.308, 0.028,1m004,lsc
NGC_1365,B,59979.506800, 4.353, 0.024,1m003,coj
NGC_1365,B,59979.507461, 4.310, 0.025,1m003,coj
NGC_1365,B,59980.479646, 4.303, 0.025,1m003,coj
NGC_1365,B,59980.480296, 4.346, 0.025,1m003,coj
NGC_1365,B,59981.528071, 4.447, 0.030,1m003,coj
NGC_1365,B,59981.528721, 4.400, 0.030,1m003,coj
NGC_1365,B,59983.086218, 4.413, 0.024,1m004,lsc
NGC_1365,B,59983.086868, 4.425, 0.025,1m004,lsc
NGC_1365,B,59984.129093, 4.307, 0.023,1m009,lsc
NGC_1365,B,59984.129742, 4.424, 0.024,1m009,lsc
NGC_1365,B,59985.111599, 4.417, 0.019,1m005,lsc
NGC_1365,B,59985.112248, 4.398, 0.019,1m005,lsc
NGC_1365,B,59985.844222, 4.428, 0.017,1m013,cpt
NGC_1365,B,59985.844871, 4.367, 0.017,1m013,cpt
NGC_1365,B,59987.081688, 4.403, 0.019,1m009,lsc
NGC_1365,B,59987.082338, 4.392, 0.019,1m009,lsc
NGC_1365,B,59987.786749, 4.416, 0.018,1m010,cpt
NGC_1365,B,59987.787399, 4.399, 0.018,1m010,cpt
NGC_1365,B,59989.507456, 4.413, 0.020,1m003,coj
NGC_1365,B,59989.508129, 4.359, 0.020,1m003,coj
NGC_1365,B,59990.102714, 4.439, 0.020,1m004,lsc
NGC_1365,B,59990.103363, 4.490, 0.021,1m004,lsc
NGC_1365,B,59991.503952, 4.345, 0.023,1m011,coj
NGC_1365,B,59991.504612, 4.404, 0.022,1m011,coj
NGC_1365,B,59994.484035, 4.456, 0.020,1m003,coj
NGC_1365,B,59994.484696, 4.449, 0.020,1m003,coj
NGC_1365,B,59995.101499, 4.492, 0.016,1m005,lsc
NGC_1365,B,59995.102148, 4.423, 0.016,1m005,lsc
NGC_1365,B,59996.783728, 4.503, 0.019,1m010,cpt
NGC_1365,B,59996.784377, 4.489, 0.018,1m010,cpt
NGC_1365,B,59997.787301, 4.464, 0.017,1m012,cpt
NGC_1365,B,59997.787950, 4.515, 0.017,1m012,cpt
NGC_1365,B,59998.823431, 4.396, 0.017,1m013,cpt
NGC_1365,B,59998.824080, 4.454, 0.017,1m013,cpt
NGC_1365,B,60000.794826, 4.436, 0.018,1m012,cpt
NGC_1365,B,60000.795475, 4.452, 0.018,1m012,cpt
NGC_1365,B,60001.461759, 4.450, 0.021,1m011,coj
NGC_1365,B,60001.462421, 4.398, 0.021,1m011,coj
NGC_1365,B,60003.035049, 4.306, 0.018,1m009,lsc
NGC_1365,B,60003.035698, 4.404, 0.018,1m009,lsc
NGC_1365,B,60003.779856, 4.327, 0.020,1m010,cpt
NGC_1365,B,60003.780505, 4.407, 0.020,1m010,cpt
NGC_1365,B,60004.769892, 4.346, 0.042,1m013,cpt
NGC_1365,B,60004.770541, 4.323, 0.041,1m013,cpt
NGC_1365,B,60006.055731, 4.251, 0.019,1m005,lsc
NGC_1365,B,60006.056380, 4.202, 0.019,1m005,lsc
NGC_1365,B,60006.776767, 4.126, 0.032,1m010,cpt
NGC_1365,B,60006.777416, 4.291, 0.030,1m010,cpt
NGC_1365,B,60008.037246, 4.276, 0.019,1m005,lsc
NGC_1365,B,60008.037895, 4.314, 0.019,1m005,lsc
NGC_1365,B,60009.059595, 4.250, 0.022,1m005,lsc
NGC_1365,B,60009.060244, 4.185, 0.022,1m005,lsc
NGC_1365,B,60010.026225, 4.310, 0.028,1m004,lsc
NGC_1365,B,60010.026874, 4.320, 0.028,1m004,lsc
NGC_1365,B,60011.398507, 4.352, 0.023,1m011,coj
NGC_1365,B,60011.399168, 4.333, 0.023,1m011,coj
NGC_1365,B,60012.441462, 4.246, 0.025,1m011,coj
NGC_1365,B,60012.442122, 4.262, 0.026,1m011,coj
NGC_1365,B,60012.770166, 4.295, 0.018,1m013,cpt
NGC_1365,B,60012.770815, 4.331, 0.018,1m013,cpt
NGC_1365,B,60015.388226, 4.232, 0.026,1m003,coj
NGC_1365,B,60015.388898, 4.308, 0.025,1m003,coj
NGC_1365,B,60016.792243, 4.359, 0.018,1m012,cpt
NGC_1365,B,60016.792893, 4.326, 0.018,1m012,cpt
NGC_1365,B,60018.403354, 4.352, 0.019,1m011,coj
NGC_1365,B,60018.404015, 4.350, 0.019,1m011,coj
NGC_1365,B,60019.406359, 4.332, 0.019,1m011,coj
NGC_1365,B,60019.407021, 4.355, 0.019,1m011,coj
NGC_1365,B,60020.767459, 4.360, 0.019,1m010,cpt
NGC_1365,B,60020.768468, 4.421, 0.019,1m010,cpt
NGC_1365,B,60021.764643, 4.386, 0.045,1m010,cpt
NGC_1365,B,60021.765374, 4.514, 0.076,1m010,cpt
NGC_1365,B,60024.760725, 4.391, 0.018,1m012,cpt
NGC_1365,B,60024.761409, 4.427, 0.018,1m012,cpt
NGC_1365,B,60025.768001, 4.417, 0.045,1m010,cpt
NGC_1365,B,60025.768650, 4.285, 0.041,1m010,cpt
NGC_1365,B,60027.003413, 4.351, 0.016,1m005,lsc
NGC_1365,B,60027.004062, 4.324, 0.016,1m005,lsc
NGC_1365,B,60029.004323, 4.309, 0.018,1m009,lsc
NGC_1365,B,60029.004961, 4.252, 0.018,1m009,lsc
NGC_1365,B,60032.003494, 4.248, 0.017,1m005,lsc
NGC_1365,B,60032.004143, 4.287, 0.017,1m005,lsc
NGC_1365,B,60032.999940, 4.353, 0.022,1m004,lsc
NGC_1365,B,60033.000577, 4.365, 0.022,1m004,lsc
NGC_1365,B,60033.982486, 4.306, 0.024,1m005,lsc
NGC_1365,B,60033.983136, 4.355, 0.023,1m005,lsc
NGC_1365,B,60034.996338, 4.417, 0.025,1m004,lsc
NGC_1365,B,60034.996988, 4.322, 0.024,1m004,lsc
NGC_1365,B,60035.993343, 4.254, 0.022,1m009,lsc
NGC_1365,B,60035.993981, 4.273, 0.022,1m009,lsc
NGC_1365,B,60037.981794, 4.303, 0.056,1m004,lsc
NGC_1365,B,60037.982443, 4.251, 0.050,1m004,lsc
NGC_1365,B,60039.367335, 4.332, 0.037,1m011,coj
NGC_1365,B,60039.367996, 4.281, 0.036,1m011,coj
NGC_1365,B,60040.372243, 4.248, 0.035,1m003,coj
NGC_1365,B,60040.722510, 4.282, 0.031,1m012,cpt
NGC_1365,B,60040.723159, 4.224, 0.030,1m012,cpt
NGC_1365,B,60112.806805, 4.384, 0.022,1m011,coj
NGC_1365,B,60112.807454, 4.342, 0.022,1m011,coj
NGC_1365,B,60121.410660, 4.278, 0.017,1m005,lsc
NGC_1365,B,60121.411309, 4.375, 0.019,1m005,lsc
NGC_1365,B,60121.421703, 4.295, 0.015,1m005,lsc
NGC_1365,B,60121.422353, 4.346, 0.015,1m005,lsc
NGC_1365,g,59798.113795, 6.899, 0.025,1m010,cpt
NGC_1365,g,59798.114444, 6.849, 0.024,1m010,cpt
NGC_1365,g,59803.022058, 7.000, 0.101,1m010,cpt
NGC_1365,g,59807.378839, 9.093, 0.024,1m009,lsc
NGC_1365,g,59807.379488, 8.518, 0.023,1m009,lsc
NGC_1365,g,59813.119110, 6.899, 0.022,1m010,cpt
NGC_1365,g,59813.119759, 6.942, 0.022,1m010,cpt
NGC_1365,g,59817.765879, 6.725, 0.015,1m003,coj
NGC_1365,g,59817.766528, 6.753, 0.015,1m003,coj
NGC_1365,g,59824.032946, 7.066, 0.030,1m012,cpt
NGC_1365,g,59824.033595, 6.981, 0.030,1m012,cpt
NGC_1365,g,59828.201964, 6.928, 0.022,1m004,lsc
NGC_1365,g,59828.202613, 6.915, 0.022,1m004,lsc
NGC_1365,g,59828.710590, 7.393, 0.018,1m003,coj
NGC_1365,g,59829.944088, 7.016, 0.038,1m010,cpt
NGC_1365,g,59829.944737, 7.009, 0.038,1m010,cpt
NGC_1365,g,59830.946809, 6.954, 0.042,1m010,cpt
NGC_1365,g,59830.947458, 6.962, 0.042,1m010,cpt
NGC_1365,g,59831.992110, 7.024, 0.044,1m010,cpt
NGC_1365,g,59831.992761, 7.035, 0.043,1m010,cpt
NGC_1365,g,59832.934481, 7.353, 0.066,1m010,cpt
NGC_1365,g,59832.935122, 7.178, 0.062,1m010,cpt
NGC_1365,g,59834.178048, 7.105, 0.038,1m001,tfn
NGC_1365,g,59834.178697, 6.908, 0.036,1m001,tfn
NGC_1365,g,59834.993972, 6.803, 0.036,1m010,cpt
NGC_1365,g,59834.994621, 6.762, 0.036,1m010,cpt
NGC_1365,g,59835.964228, 6.840, 0.036,1m012,cpt
NGC_1365,g,59835.964888, 6.843, 0.036,1m012,cpt
NGC_1365,g,59837.006153, 6.747, 0.031,1m013,cpt
NGC_1365,g,59837.006791, 6.710, 0.028,1m013,cpt
NGC_1365,g,59838.047689, 6.668, 0.029,1m012,cpt
NGC_1365,g,59838.048326, 6.987, 0.030,1m012,cpt
NGC_1365,g,59839.089542, 6.704, 0.026,1m013,cpt
NGC_1365,g,59839.090186, 6.697, 0.026,1m013,cpt
NGC_1365,g,59841.176621, 6.750, 0.017,1m009,lsc
NGC_1365,g,59841.177271, 6.786, 0.017,1m009,lsc
NGC_1365,g,59842.907373, 6.770, 0.024,1m013,cpt
NGC_1365,g,59842.908033, 6.703, 0.023,1m013,cpt
NGC_1365,g,59843.284582, 6.822, 0.016,1m009,lsc
NGC_1365,g,59843.285231, 6.793, 0.016,1m009,lsc
NGC_1365,g,59844.296590, 6.732, 0.015,1m005,lsc
NGC_1365,g,59844.297239, 6.782, 0.015,1m005,lsc
NGC_1365,g,59845.336498, 6.918, 0.016,1m009,lsc
NGC_1365,g,59845.337137, 6.816, 0.016,1m009,lsc
NGC_1365,g,59846.353119, 6.841, 0.018,1m004,lsc
NGC_1365,g,59846.353791, 6.802, 0.018,1m004,lsc
NGC_1365,g,59848.162347, 6.758, 0.016,1m005,lsc
NGC_1365,g,59848.163008, 6.756, 0.016,1m005,lsc
NGC_1365,g,59848.906337, 6.817, 0.024,1m013,cpt
NGC_1365,g,59848.906987, 6.787, 0.024,1m013,cpt
NGC_1365,g,59850.885351, 7.035, 0.029,1m013,cpt
NGC_1365,g,59850.886001, 7.045, 0.040,1m013,cpt
NGC_1365,g,59852.170024, 7.012, 0.039,1m001,tfn
NGC_1365,g,59852.170676, 7.319, 0.042,1m001,tfn
NGC_1365,g,59852.879919, 6.911, 0.024,1m013,cpt
NGC_1365,g,59853.877228, 6.997, 0.025,1m013,cpt
NGC_1365,g,59853.877867, 6.892, 0.025,1m013,cpt
NGC_1365,g,59854.687590, 6.874, 0.015,1m011,coj
NGC_1365,g,59854.688240, 6.940, 0.015,1m011,coj
NGC_1365,g,59855.734924, 6.764, 0.015,1m003,coj
NGC_1365,g,59855.735573, 6.803, 0.015,1m003,coj
NGC_1365,g,59856.868927, 7.058, 0.035,1m012,cpt
NGC_1365,g,59856.869576, 7.039, 0.034,1m012,cpt
NGC_1365,g,59857.888201, 6.807, 0.030,1m010,cpt
NGC_1365,g,59857.888850, 6.814, 0.030,1m010,cpt
NGC_1365,g,59858.979212, 6.922, 0.058,1m012,cpt
NGC_1365,g,59858.979861, 6.755, 0.058,1m012,cpt
NGC_1365,g,59859.884224, 6.966, 0.043,1m010,cpt
NGC_1365,g,59859.884873, 6.878, 0.043,1m010,cpt
NGC_1365,g,59860.934984, 6.739, 0.037,1m013,cpt
NGC_1365,g,59860.935634, 6.733, 0.037,1m013,cpt
NGC_1365,g,59863.099052, 6.646, 0.034,1m014,tfn
NGC_1365,g,59863.099712, 6.537, 0.034,1m014,tfn
NGC_1365,g,59864.096246, 7.040, 0.035,1m014,tfn
NGC_1365,g,59864.096895, 7.291, 0.036,1m014,tfn
NGC_1365,g,59865.196806, 6.576, 0.017,1m005,lsc
NGC_1365,g,59865.197455, 6.665, 0.017,1m005,lsc
NGC_1365,g,59866.657060, 6.607, 0.016,1m011,coj
NGC_1365,g,59866.657710, 6.540, 0.016,1m011,coj
NGC_1365,g,59868.275479, 6.679, 0.015,1m005,lsc
NGC_1365,g,59868.276128, 6.658, 0.015,1m005,lsc
NGC_1365,g,59869.310230, 6.610, 0.015,1m005,lsc
NGC_1365,g,59869.310879, 6.680, 0.015,1m005,lsc
NGC_1365,g,59871.124860, 6.674, 0.015,1m005,lsc
NGC_1365,g,59871.125509, 6.690, 0.015,1m005,lsc
NGC_1365,g,59872.095183, 6.688, 0.024,1m013,cpt
NGC_1365,g,59872.095833, 6.751, 0.024,1m013,cpt
NGC_1365,g,59873.262258, 6.770, 0.014,1m005,lsc
NGC_1365,g,59873.262907, 6.724, 0.014,1m005,lsc
NGC_1365,g,59873.922035, 6.852, 0.027,1m012,cpt
NGC_1365,g,59873.922684, 6.648, 0.026,1m012,cpt
NGC_1365,g,59875.111108, 6.721, 0.018,1m014,tfn
NGC_1365,g,59875.111757, 6.681, 0.019,1m014,tfn
NGC_1365,g,59876.052273, 6.850, 0.031,1m012,cpt
NGC_1365,g,59876.052911, 6.833, 0.032,1m012,cpt
NGC_1365,g,59877.044018, 6.707, 0.045,1m010,cpt
NGC_1365,g,59877.044655, 6.789, 0.054,1m010,cpt
NGC_1365,g,59879.031151, 6.789, 0.022,1m013,cpt
NGC_1365,g,59879.031801, 6.751, 0.022,1m013,cpt
NGC_1365,g,59880.613341, 6.632, 0.014,1m011,coj
NGC_1365,g,59880.613990, 6.647, 0.014,1m011,coj
NGC_1365,g,59881.451236, 6.654, 0.016,1m011,coj
NGC_1365,g,59881.451885, 6.685, 0.016,1m011,coj
NGC_1365,g,59885.683082, 6.667, 0.015,1m011,coj
NGC_1365,g,59885.683731, 6.658, 0.015,1m011,coj
NGC_1365,g,59887.120565,11.188, 0.027,1m009,lsc
NGC_1365,g,59887.121214, 7.733, 0.019,1m009,lsc
NGC_1365,g,59888.745300, 6.606, 0.016,1m011,coj
NGC_1365,g,59888.745961, 6.559, 0.016,1m011,coj
NGC_1365,g,59889.050052, 7.615, 0.023,1m009,lsc
NGC_1365,g,59889.050701,10.054, 0.031,1m009,lsc
NGC_1365,g,59890.159464, 6.641, 0.019,1m009,lsc
NGC_1365,g,59890.160113, 6.739, 0.019,1m009,lsc
NGC_1365,g,59891.135652, 6.847, 0.045,1m009,lsc
NGC_1365,g,59891.136301,10.045, 0.050,1m009,lsc
NGC_1365,g,59892.245267, 6.925, 0.025,1m004,lsc
NGC_1365,g,59892.245917, 6.715, 0.024,1m004,lsc
NGC_1365,g,59893.311534, 6.659, 0.028,1m009,lsc
NGC_1365,g,59893.312184, 6.592, 0.029,1m009,lsc
NGC_1365,g,59894.325446, 6.721, 0.146,1m005,lsc
NGC_1365,g,59894.326095, 6.842, 0.092,1m005,lsc
NGC_1365,g,59897.244014, 6.600, 0.014,1m009,lsc
NGC_1365,g,59897.244663, 6.651, 0.014,1m009,lsc
NGC_1365,g,59897.589918, 6.578, 0.015,1m011,coj
NGC_1365,g,59897.590567, 6.670, 0.015,1m011,coj
NGC_1365,g,59898.552953, 6.619, 0.015,1m011,coj
NGC_1365,g,59898.553602, 6.600, 0.015,1m011,coj
NGC_1365,g,59899.284327, 6.722, 0.015,1m004,lsc
NGC_1365,g,59899.284977, 6.711, 0.015,1m004,lsc
NGC_1365,g,59899.638808, 6.588, 0.015,1m003,coj
NGC_1365,g,59899.639469, 6.500, 0.014,1m003,coj
NGC_1365,g,59900.994783, 6.558, 0.020,1m014,tfn
NGC_1365,g,59900.995432, 6.613, 0.020,1m014,tfn
NGC_1365,g,59902.192642, 6.582, 0.013,1m005,lsc
NGC_1365,g,59902.193302, 6.615, 0.013,1m005,lsc
NGC_1365,g,59903.329030, 6.666, 0.014,1m009,lsc
NGC_1365,g,59903.329683, 6.633, 0.014,1m009,lsc
NGC_1365,g,59904.109984, 6.574, 0.015,1m004,lsc
NGC_1365,g,59904.110622, 6.644, 0.015,1m004,lsc
NGC_1365,g,59905.518496, 6.584, 0.025,1m003,coj
NGC_1365,g,59905.519158, 6.760, 0.044,1m003,coj
NGC_1365,g,59906.647941, 6.603, 0.015,1m011,coj
NGC_1365,g,59906.648602, 6.676, 0.015,1m011,coj
NGC_1365,g,59907.349800, 6.603, 0.015,1m009,lsc
NGC_1365,g,59907.350439, 6.734, 0.016,1m009,lsc
NGC_1365,g,59908.335936, 6.670, 0.016,1m004,lsc
NGC_1365,g,59908.336574, 6.554, 0.016,1m004,lsc
NGC_1365,g,59909.344797, 6.655, 0.017,1m004,lsc
NGC_1365,g,59909.345447, 6.621, 0.017,1m004,lsc
NGC_1365,g,59910.317977, 6.644, 0.016,1m004,lsc
NGC_1365,g,59910.318626, 6.647, 0.016,1m004,lsc
NGC_1365,g,59911.471196, 6.610, 0.015,1m011,coj
NGC_1365,g,59911.471845, 6.591, 0.015,1m011,coj
NGC_1365,g,59912.429325, 6.837, 0.017,1m011,coj
NGC_1365,g,59912.429974, 6.761, 0.016,1m011,coj
NGC_1365,g,59913.006391, 6.640, 0.027,1m012,cpt
NGC_1365,g,59913.007040, 6.691, 0.027,1m012,cpt
NGC_1365,g,59915.087861, 6.685, 0.017,1m004,lsc
NGC_1365,g,59915.088510, 6.636, 0.017,1m004,lsc
NGC_1365,g,59916.182802, 8.267, 0.019,1m009,lsc
NGC_1365,g,59916.183451, 6.824, 0.016,1m009,lsc
NGC_1365,g,59917.828746, 6.805, 0.036,1m012,cpt
NGC_1365,g,59917.829396, 6.987, 0.037,1m012,cpt
NGC_1365,g,59918.176537, 6.713, 0.018,1m004,lsc
NGC_1365,g,59918.177176, 6.712, 0.018,1m004,lsc
NGC_1365,g,59920.034791, 6.763, 0.041,1m010,cpt
NGC_1365,g,59920.035432, 6.728, 0.041,1m010,cpt
NGC_1365,g,59921.172405, 6.736, 0.019,1m005,lsc
NGC_1365,g,59921.173066, 6.752, 0.019,1m005,lsc
NGC_1365,g,59922.043649, 6.907, 0.016,1m005,lsc
NGC_1365,g,59922.044298, 6.851, 0.016,1m005,lsc
NGC_1365,g,59922.931154, 6.892, 0.034,1m010,cpt
NGC_1365,g,59922.931804, 6.952, 0.034,1m010,cpt
NGC_1365,g,59924.161564, 6.667, 0.017,1m004,lsc
NGC_1365,g,59924.162213, 6.540, 0.016,1m004,lsc
NGC_1365,g,59926.291905, 6.636, 0.018,1m004,lsc
NGC_1365,g,59926.292554, 6.728, 0.018,1m004,lsc
NGC_1365,g,59927.475256, 6.647, 0.014,1m003,coj
NGC_1365,g,59927.475917, 6.652, 0.014,1m003,coj
NGC_1365,g,59928.527939, 6.641, 0.015,1m011,coj
