Object,Filter,MJD,Flux,Error,Tel,Obs
NGC_6814,B,60042.316425, 3.647, 0.025,1m005,lsc
NGC_6814,B,60043.288483, 3.350, 0.029,1m009,lsc
NGC_6814,B,60043.289155, 3.366, 0.029,1m009,lsc
NGC_6814,B,60043.399775, 3.424, 0.020,1m009,lsc
NGC_6814,B,60043.400424, 3.422, 0.020,1m009,lsc
NGC_6814,B,60044.024738, 3.397, 0.032,1m012,cpt
NGC_6814,B,60044.025503, 3.355, 0.032,1m012,cpt
NGC_6814,B,60044.393892, 3.448, 0.023,1m004,lsc
NGC_6814,B,60044.394541, 3.441, 0.023,1m004,lsc
NGC_6814,B,60045.073568, 3.383, 0.027,1m010,cpt
NGC_6814,B,60045.074299, 3.369, 0.027,1m010,cpt
NGC_6814,B,60045.396786, 3.507, 0.022,1m005,lsc
NGC_6814,B,60045.397435, 3.513, 0.021,1m005,lsc
NGC_6814,B,60046.019290, 3.349, 0.038,1m010,cpt
NGC_6814,B,60046.019986, 3.330, 0.038,1m010,cpt
NGC_6814,B,60046.468963, 3.427, 0.022,1m008,elp
NGC_6814,B,60046.469636, 3.455, 0.022,1m008,elp
NGC_6814,B,60048.394591, 3.943, 0.016,1m005,lsc
NGC_6814,B,60048.395252, 3.929, 0.016,1m005,lsc
NGC_6814,B,60048.673531, 3.726, 0.023,1m003,coj
NGC_6814,B,60048.674227, 3.766, 0.023,1m003,coj
NGC_6814,B,60049.010975, 3.868, 0.023,1m010,cpt
NGC_6814,B,60049.011635, 3.821, 0.023,1m010,cpt
NGC_6814,B,60050.054855, 3.821, 0.019,1m010,cpt
NGC_6814,B,60050.055504, 3.823, 0.019,1m010,cpt
NGC_6814,B,60051.021263, 4.094, 0.020,1m013,cpt
NGC_6814,B,60051.021946, 4.092, 0.020,1m013,cpt
NGC_6814,B,60051.066429, 4.161, 0.018,1m013,cpt
NGC_6814,B,60051.067079, 4.154, 0.018,1m013,cpt
NGC_6814,B,60051.739370, 4.170, 0.021,1m003,coj
NGC_6814,B,60052.026939, 4.241, 0.020,1m012,cpt
NGC_6814,B,60052.027600, 4.274, 0.020,1m012,cpt
NGC_6814,B,60052.111292, 4.306, 0.017,1m012,cpt
NGC_6814,B,60052.111941, 4.331, 0.017,1m012,cpt
NGC_6814,B,60053.011276, 4.532, 0.051,1m012,cpt
NGC_6814,B,60053.396300, 4.577, 0.017,1m009,lsc
NGC_6814,B,60053.396938, 4.554, 0.017,1m009,lsc
NGC_6814,B,60054.274995, 4.442, 0.017,1m005,lsc
NGC_6814,B,60054.275644, 4.441, 0.017,1m005,lsc
NGC_6814,B,60055.143904, 4.112, 0.022,1m014,tfn
NGC_6814,B,60055.144565, 4.133, 0.023,1m014,tfn
NGC_6814,B,60055.172086, 4.213, 0.025,1m001,tfn
NGC_6814,B,60055.172735, 4.145, 0.025,1m001,tfn
NGC_6814,B,60056.245618, 4.039, 0.018,1m005,lsc
NGC_6814,B,60056.246268, 3.999, 0.018,1m005,lsc
NGC_6814,B,60057.167158, 3.943, 0.019,1m014,tfn
NGC_6814,B,60057.167818, 3.978, 0.019,1m014,tfn
NGC_6814,B,60058.195680, 3.962, 0.019,1m001,tfn
NGC_6814,B,60058.196330, 3.949, 0.019,1m001,tfn
NGC_6814,B,60058.267416, 3.884, 0.018,1m009,lsc
NGC_6814,B,60058.268112, 3.920, 0.018,1m009,lsc
NGC_6814,B,60059.163094, 3.940, 0.019,1m014,tfn
NGC_6814,B,60059.163754, 3.983, 0.019,1m014,tfn
NGC_6814,B,60059.625245, 3.844, 0.024,1m003,coj
NGC_6814,B,60059.625906, 3.866, 0.024,1m003,coj
NGC_6814,B,60060.168706, 3.966, 0.020,1m001,tfn
NGC_6814,B,60060.169355, 3.973, 0.020,1m001,tfn
NGC_6814,B,60060.332545, 3.968, 0.018,1m004,lsc
NGC_6814,B,60060.333183, 3.934, 0.018,1m004,lsc
NGC_6814,B,60061.209172, 3.735, 0.019,1m001,tfn
NGC_6814,B,60061.209821, 3.795, 0.019,1m001,tfn
NGC_6814,B,60061.346727, 3.803, 0.014,1m005,lsc
NGC_6814,B,60061.347376, 3.803, 0.014,1m005,lsc
NGC_6814,B,60062.316470, 3.663, 0.016,1m009,lsc
NGC_6814,B,60062.317120, 3.691, 0.016,1m009,lsc
NGC_6814,B,60062.388136, 3.637, 0.017,1m004,lsc
NGC_6814,B,60062.388785, 3.629, 0.017,1m004,lsc
NGC_6814,B,60063.301216, 3.859, 0.018,1m004,lsc
NGC_6814,B,60063.301924, 3.869, 0.018,1m004,lsc
NGC_6814,B,60063.374638, 3.989, 0.014,1m005,lsc
NGC_6814,B,60063.375287, 3.991, 0.014,1m005,lsc
NGC_6814,B,60064.113987, 3.629, 0.026,1m014,tfn
NGC_6814,B,60064.114671, 3.653, 0.026,1m014,tfn
NGC_6814,B,60064.749304, 3.611, 0.018,1m003,coj
NGC_6814,B,60064.749976, 3.625, 0.018,1m003,coj
NGC_6814,B,60065.300065, 3.562, 0.014,1m005,lsc
NGC_6814,B,60065.300714, 3.546, 0.014,1m005,lsc
NGC_6814,B,60065.609040, 3.344, 0.032,1m003,coj
NGC_6814,B,60065.609701, 3.321, 0.032,1m003,coj
NGC_6814,B,60065.977942, 3.378, 0.025,1m013,cpt
NGC_6814,B,60065.978591, 3.358, 0.025,1m013,cpt
NGC_6814,B,60066.606222, 3.288, 0.038,1m003,coj
NGC_6814,B,60066.606883, 3.359, 0.067,1m003,coj
NGC_6814,B,60066.806050, 3.356, 0.024,1m003,coj
NGC_6814,B,60066.806712, 3.364, 0.018,1m003,coj
NGC_6814,B,60067.052150, 5.652, 0.093,1m012,cpt
NGC_6814,B,60067.052846, 5.385, 0.089,1m012,cpt
NGC_6814,B,60067.780911, 3.326, 0.019,1m003,coj
NGC_6814,B,60067.781572, 3.333, 0.019,1m003,coj
NGC_6814,B,60068.028272, 3.206, 0.022,1m013,cpt
NGC_6814,B,60068.028923, 3.151, 0.022,1m013,cpt
NGC_6814,B,60068.066994, 3.222, 0.020,1m013,cpt
NGC_6814,B,60068.067643, 3.227, 0.022,1m013,cpt
NGC_6814,B,60068.078574, 3.121, 0.019,1m013,cpt
NGC_6814,B,60068.079223, 3.093, 0.020,1m013,cpt
NGC_6814,B,60068.603387, 3.314, 0.040,1m011,coj
NGC_6814,B,60068.604048, 3.368, 0.040,1m011,coj
NGC_6814,B,60069.042055, 5.488, 0.108,1m012,cpt
NGC_6814,B,60069.042751, 5.551, 0.110,1m012,cpt
NGC_6814,B,60069.609190, 3.486, 0.048,1m003,coj
NGC_6814,B,60069.609850, 3.429, 0.047,1m003,coj
NGC_6814,B,60070.118766, 3.513, 0.057,1m001,tfn
NGC_6814,B,60070.119415, 3.489, 0.055,1m001,tfn
NGC_6814,B,60070.960395, 3.139, 0.042,1m010,cpt
NGC_6814,B,60070.961044, 3.074, 0.043,1m010,cpt
NGC_6814,B,60071.314115, 3.282, 0.027,1m004,lsc
NGC_6814,B,60071.314764, 3.242, 0.027,1m004,lsc
NGC_6814,B,60071.646583, 3.252, 0.038,1m011,coj
NGC_6814,B,60072.124561, 3.032, 0.029,1m014,tfn
NGC_6814,B,60072.125211, 3.067, 0.030,1m014,tfn
NGC_6814,B,60072.785153, 3.063, 0.026,1m011,coj
NGC_6814,B,60072.785814, 3.046, 0.026,1m011,coj
NGC_6814,B,60072.956888, 3.067, 0.037,1m010,cpt
NGC_6814,B,60072.957537, 3.059, 0.037,1m010,cpt
NGC_6814,B,60073.173501, 3.055, 0.028,1m001,tfn
NGC_6814,B,60073.174150, 3.109, 0.029,1m001,tfn
NGC_6814,B,60073.671822, 3.053, 0.031,1m003,coj
NGC_6814,B,60073.672471, 3.072, 0.032,1m003,coj
NGC_6814,B,60075.641602, 3.083, 0.024,1m003,coj
NGC_6814,B,60075.642275, 3.063, 0.024,1m003,coj
NGC_6814,B,60075.781763, 3.050, 0.022,1m003,coj
NGC_6814,B,60075.782425, 3.025, 0.022,1m003,coj
NGC_6814,B,60076.249906, 2.956, 0.043,1m009,lsc
NGC_6814,B,60076.250555, 2.951, 0.040,1m009,lsc
NGC_6814,B,60076.749584, 3.023, 0.020,1m011,coj
NGC_6814,B,60076.750245, 3.030, 0.020,1m011,coj
NGC_6814,B,60077.336696, 3.124, 0.014,1m005,lsc
NGC_6814,B,60077.337345, 3.158, 0.014,1m005,lsc
NGC_6814,B,60078.122208, 3.173, 0.019,1m001,tfn
NGC_6814,B,60078.291458, 3.324, 0.014,1m005,lsc
NGC_6814,B,60078.292107, 3.324, 0.014,1m005,lsc
NGC_6814,B,60079.248928, 3.096, 0.016,1m009,lsc
NGC_6814,B,60079.249577, 3.136, 0.016,1m009,lsc
NGC_6814,B,60079.336641, 3.165, 0.013,1m005,lsc
NGC_6814,B,60079.337290, 3.172, 0.013,1m005,lsc
NGC_6814,B,60079.927040, 3.093, 0.018,1m013,cpt
NGC_6814,B,60079.927677, 3.055, 0.018,1m013,cpt
NGC_6814,B,60080.376004, 3.045, 0.014,1m009,lsc
NGC_6814,B,60080.376653, 3.043, 0.014,1m009,lsc
NGC_6814,B,60080.926744, 2.962, 0.018,1m013,cpt
NGC_6814,B,60080.927391, 2.969, 0.018,1m013,cpt
NGC_6814,B,60081.374581, 3.060, 0.018,1m008,elp
NGC_6814,B,60081.375241, 3.082, 0.018,1m008,elp
NGC_6814,B,60082.283623, 3.209, 0.014,1m005,lsc
NGC_6814,B,60082.418061, 3.104, 0.017,1m004,lsc
NGC_6814,B,60082.418710, 3.106, 0.017,1m004,lsc
NGC_6814,B,60083.113530, 3.017, 0.018,1m001,tfn
NGC_6814,B,60083.114179, 3.062, 0.018,1m001,tfn
NGC_6814,B,60083.566495, 3.001, 0.020,1m003,coj
NGC_6814,B,60083.567145, 3.034, 0.020,1m003,coj
NGC_6814,B,60083.957678, 3.044, 0.016,1m013,cpt
NGC_6814,B,60083.958327, 3.068, 0.016,1m013,cpt
NGC_6814,B,60085.089946, 2.921, 0.024,1m014,tfn
NGC_6814,B,60085.090595, 2.962, 0.023,1m014,tfn
NGC_6814,B,60086.431803, 2.983, 0.016,1m006,elp
NGC_6814,B,60086.432440, 2.996, 0.016,1m006,elp
NGC_6814,B,60086.696039, 2.955, 0.016,1m011,coj
NGC_6814,B,60086.696688, 2.911, 0.016,1m011,coj
NGC_6814,B,60087.200615, 2.852, 0.018,1m009,lsc
NGC_6814,B,60087.201264, 2.885, 0.018,1m009,lsc
NGC_6814,B,60087.925255, 2.894, 0.016,1m013,cpt
NGC_6814,B,60087.925904, 2.870, 0.016,1m013,cpt
NGC_6814,B,60088.087964, 2.897, 0.017,1m012,cpt
NGC_6814,B,60088.088694, 2.891, 0.017,1m012,cpt
NGC_6814,B,60088.250621, 2.712, 0.045,1m009,lsc
NGC_6814,B,60088.251259, 2.732, 0.046,1m009,lsc
NGC_6814,B,60090.421796, 2.986, 0.017,1m004,lsc
NGC_6814,B,60090.422446, 3.015, 0.017,1m004,lsc
NGC_6814,B,60091.087222, 3.002, 0.014,1m013,cpt
NGC_6814,B,60091.087871, 3.021, 0.014,1m013,cpt
NGC_6814,B,60091.612075, 3.601, 0.032,1m003,coj
NGC_6814,B,60091.612748, 3.524, 0.031,1m003,coj
NGC_6814,B,60093.007418, 3.146, 0.017,1m013,cpt
NGC_6814,B,60093.008055, 3.194, 0.018,1m013,cpt
NGC_6814,B,60093.636848, 3.163, 0.020,1m011,coj
NGC_6814,B,60093.637509, 3.150, 0.020,1m011,coj
NGC_6814,B,60094.271563, 3.367, 0.014,1m005,lsc
NGC_6814,B,60094.272212, 3.378, 0.014,1m005,lsc
NGC_6814,B,60095.138950, 3.434, 0.037,1m005,lsc
NGC_6814,B,60095.139599, 3.395, 0.035,1m005,lsc
NGC_6814,B,60096.189293, 3.547, 0.020,1m005,lsc
NGC_6814,B,60096.189942, 3.525, 0.019,1m005,lsc
NGC_6814,B,60096.972497, 3.362, 0.026,1m010,cpt
NGC_6814,B,60096.973146, 3.336, 0.026,1m010,cpt
NGC_6814,B,60098.797487, 3.295, 0.038,1m003,coj
NGC_6814,B,60098.798136, 3.321, 0.038,1m003,coj
NGC_6814,B,60100.125487, 3.379, 0.048,1m009,lsc
NGC_6814,B,60100.126160, 3.337, 0.048,1m009,lsc
NGC_6814,B,60101.125110, 3.694, 0.027,1m012,cpt
NGC_6814,B,60101.125770, 3.696, 0.027,1m012,cpt
NGC_6814,B,60103.125683, 3.810, 0.026,1m009,lsc
NGC_6814,B,60103.126332, 3.768, 0.026,1m009,lsc
NGC_6814,B,60103.216307, 3.839, 0.025,1m004,lsc
NGC_6814,B,60103.216956, 3.842, 0.025,1m004,lsc
NGC_6814,B,60104.330534, 4.007, 0.021,1m004,lsc
NGC_6814,B,60104.331184, 4.009, 0.021,1m004,lsc
NGC_6814,B,60105.291424, 4.069, 0.016,1m005,lsc
NGC_6814,B,60105.292073, 4.054, 0.015,1m005,lsc
NGC_6814,B,60106.333573, 3.695, 0.016,1m009,lsc
NGC_6814,B,60106.334234, 3.697, 0.016,1m009,lsc
NGC_6814,B,60107.375572, 3.785, 0.014,1m005,lsc
NGC_6814,B,60107.376221, 3.743, 0.014,1m005,lsc
NGC_6814,B,60108.430190, 3.684, 0.017,1m009,lsc
NGC_6814,B,60108.430871, 3.691, 0.017,1m009,lsc
NGC_6814,B,60110.194987, 3.465, 0.065,1m014,tfn
NGC_6814,B,60110.195636, 3.677, 0.040,1m014,tfn
NGC_6814,B,60111.044140, 3.726, 0.016,1m013,cpt
NGC_6814,B,60111.044777, 3.708, 0.016,1m013,cpt
NGC_6814,B,60111.134798, 3.691, 0.018,1m001,tfn
NGC_6814,B,60111.135459, 3.667, 0.018,1m001,tfn
NGC_6814,B,60111.553641, 3.656, 0.020,1m011,coj
NGC_6814,B,60111.554325, 5.711, 0.065,1m011,coj
NGC_6814,B,60112.596915, 3.729, 0.031,1m011,coj
NGC_6814,B,60112.597588, 3.677, 0.032,1m011,coj
NGC_6814,B,60113.648639, 3.753, 0.018,1m003,coj
NGC_6814,B,60113.649289, 3.709, 0.018,1m003,coj
NGC_6814,B,60113.694909, 3.755, 0.018,1m003,coj
NGC_6814,B,60113.695559, 3.733, 0.018,1m003,coj
NGC_6814,B,60114.984051, 3.864, 0.023,1m001,tfn
NGC_6814,B,60114.984700, 3.837, 0.023,1m001,tfn
NGC_6814,B,60115.813387, 3.881, 0.022,1m011,coj
NGC_6814,B,60115.814036, 3.886, 0.022,1m011,coj
NGC_6814,B,60117.004110, 4.173, 0.017,1m012,cpt
NGC_6814,B,60117.004759, 4.156, 0.017,1m012,cpt
NGC_6814,B,60117.883131, 4.200, 0.019,1m012,cpt
NGC_6814,B,60117.883769, 4.268, 0.019,1m012,cpt
NGC_6814,B,60118.903090, 4.161, 0.019,1m012,cpt
NGC_6814,B,60118.903739, 4.138, 0.018,1m012,cpt
NGC_6814,B,60119.874533, 4.172, 0.028,1m013,cpt
NGC_6814,B,60119.875182, 4.154, 0.027,1m013,cpt
NGC_6814,B,60120.990326, 4.126, 0.024,1m014,tfn
NGC_6814,B,60120.991311, 4.167, 0.025,1m014,tfn
NGC_6814,B,60120.995009, 4.183, 0.024,1m014,tfn
NGC_6814,B,60120.995786, 4.164, 0.024,1m014,tfn
NGC_6814,B,60121.021452, 4.266, 0.021,1m014,tfn
NGC_6814,B,60121.022102, 4.255, 0.021,1m014,tfn
NGC_6814,g,59818.925791, 4.952, 0.014,1m014,tfn
NGC_6814,g,59818.926440, 4.952, 0.014,1m014,tfn
NGC_6814,g,59819.031267, 5.023, 0.019,1m001,tfn
NGC_6814,g,59819.031927, 5.033, 0.020,1m001,tfn
NGC_6814,g,59819.911594, 4.749, 0.023,1m012,cpt
NGC_6814,g,59819.912243, 4.798, 0.023,1m012,cpt
NGC_6814,g,59819.971507, 4.777, 0.024,1m010,cpt
NGC_6814,g,59819.972157, 4.785, 0.024,1m010,cpt
NGC_6814,g,59820.916440, 5.036, 0.014,1m001,tfn
NGC_6814,g,59820.917100, 5.040, 0.014,1m001,tfn
NGC_6814,g,59821.197197, 5.716, 0.017,1m009,lsc
NGC_6814,g,59821.197846, 7.064, 0.020,1m009,lsc
NGC_6814,g,59821.965818, 5.392, 0.031,1m013,cpt
NGC_6814,g,59821.966468, 5.632, 0.036,1m013,cpt
NGC_6814,g,59822.597349, 4.734, 0.014,1m003,coj
NGC_6814,g,59822.597998, 4.735, 0.013,1m003,coj
NGC_6814,g,59823.006750, 4.845, 0.013,1m005,lsc
NGC_6814,g,59823.007401, 4.821, 0.013,1m005,lsc
NGC_6814,g,59823.961172, 4.740, 0.029,1m010,cpt
NGC_6814,g,59823.961821, 4.769, 0.030,1m010,cpt
NGC_6814,g,59825.145612, 5.042, 0.017,1m004,lsc
NGC_6814,g,59825.146251, 5.036, 0.017,1m004,lsc
NGC_6814,g,59825.874764, 5.165, 0.025,1m012,cpt
NGC_6814,g,59825.875413, 5.190, 0.025,1m012,cpt
NGC_6814,g,59826.157339, 5.151, 0.018,1m004,lsc
NGC_6814,g,59826.157988, 5.153, 0.018,1m004,lsc
NGC_6814,g,59826.944564, 5.011, 0.019,1m001,tfn
NGC_6814,g,59826.945213, 4.984, 0.020,1m001,tfn
NGC_6814,g,59826.961685, 6.772, 0.058,1m001,tfn
NGC_6814,g,59827.473885, 4.681, 0.049,1m011,coj
NGC_6814,g,59827.474535, 4.599, 0.057,1m011,coj
NGC_6814,g,59827.762315, 4.753, 0.049,1m012,cpt
NGC_6814,g,59827.762964, 4.874, 0.049,1m012,cpt
NGC_6814,g,59828.020890, 4.961, 0.026,1m001,tfn
NGC_6814,g,59828.021551, 4.923, 0.026,1m001,tfn
NGC_6814,g,59829.727074, 5.225, 0.044,1m013,cpt
NGC_6814,g,59829.727724, 5.267, 0.044,1m013,cpt
NGC_6814,g,59829.846988, 5.240, 0.046,1m013,cpt
NGC_6814,g,59829.847637, 5.262, 0.046,1m013,cpt
NGC_6814,g,59830.134040, 5.853, 0.100,1m008,elp
NGC_6814,g,59830.134690, 5.710, 0.099,1m008,elp
NGC_6814,g,59830.727380, 5.558, 0.041,1m013,cpt
NGC_6814,g,59830.728029, 5.433, 0.040,1m013,cpt
NGC_6814,g,59830.823069, 5.419, 0.059,1m010,cpt
NGC_6814,g,59830.823718, 5.467, 0.049,1m010,cpt
NGC_6814,g,59830.927970, 5.397, 0.070,1m012,cpt
NGC_6814,g,59830.928619, 5.435, 0.069,1m012,cpt
NGC_6814,g,59831.107950, 5.414, 0.028,1m005,lsc
NGC_6814,g,59831.108599, 5.449, 0.028,1m005,lsc
NGC_6814,g,59831.784196, 5.438, 0.034,1m013,cpt
NGC_6814,g,59831.784845, 5.505, 0.034,1m013,cpt
NGC_6814,g,59831.826363, 5.476, 0.039,1m012,cpt
NGC_6814,g,59831.827001, 5.517, 0.040,1m012,cpt
NGC_6814,g,59832.022359, 5.412, 0.047,1m001,tfn
NGC_6814,g,59832.023008, 5.531, 0.046,1m001,tfn
NGC_6814,g,59832.229979, 5.348, 0.046,1m009,lsc
NGC_6814,g,59832.230641, 5.310, 0.047,1m009,lsc
NGC_6814,g,59832.867420, 5.673, 0.051,1m010,cpt
NGC_6814,g,59832.868069, 5.562, 0.051,1m010,cpt
NGC_6814,g,59832.887706, 5.649, 0.051,1m010,cpt
NGC_6814,g,59832.888363, 5.605, 0.051,1m010,cpt
NGC_6814,g,59833.123453, 5.664, 0.024,1m005,lsc
NGC_6814,g,59833.124095, 5.617, 0.024,1m005,lsc
NGC_6814,g,59833.259563, 5.612, 0.035,1m008,elp
NGC_6814,g,59833.260212, 5.624, 0.035,1m008,elp
NGC_6814,g,59833.579704, 5.487, 0.023,1m011,coj
NGC_6814,g,59833.580446, 5.500, 0.023,1m011,coj
NGC_6814,g,59833.950739, 5.656, 0.025,1m001,tfn
NGC_6814,g,59833.951388, 5.653, 0.025,1m001,tfn
NGC_6814,g,59834.116605, 5.525, 0.021,1m004,lsc
NGC_6814,g,59834.117243, 5.525, 0.021,1m004,lsc
NGC_6814,g,59834.175892, 5.576, 0.020,1m005,lsc
NGC_6814,g,59834.176541, 5.545, 0.020,1m005,lsc
NGC_6814,g,59834.495106, 5.427, 0.018,1m003,coj
NGC_6814,g,59834.495766, 5.404, 0.018,1m003,coj
NGC_6814,g,59834.605945, 5.344, 0.025,1m003,coj
NGC_6814,g,59834.606606, 5.349, 0.025,1m003,coj
NGC_6814,g,59834.868006, 5.449, 0.016,1m014,tfn
NGC_6814,g,59834.868655, 5.449, 0.016,1m014,tfn
NGC_6814,g,59835.012030, 5.471, 0.025,1m001,tfn
NGC_6814,g,59835.012691, 5.563, 0.025,1m001,tfn
NGC_6814,g,59835.085058, 5.771, 0.017,1m009,lsc
NGC_6814,g,59835.085707, 5.924, 0.018,1m009,lsc
NGC_6814,g,59835.407765, 5.356, 0.018,1m003,coj
NGC_6814,g,59835.408415, 5.300, 0.018,1m003,coj
NGC_6814,g,59835.557619, 5.319, 0.018,1m003,coj
NGC_6814,g,59835.558269, 5.309, 0.018,1m003,coj
NGC_6814,g,59835.602126, 5.236, 0.021,1m003,coj
NGC_6814,g,59835.602787, 5.293, 0.022,1m003,coj
NGC_6814,g,59835.917646, 5.270, 0.032,1m012,cpt
NGC_6814,g,59835.918296, 5.232, 0.032,1m012,cpt
NGC_6814,g,59836.115279, 5.216, 0.019,1m004,lsc
NGC_6814,g,59836.115916, 5.223, 0.019,1m004,lsc
NGC_6814,g,59836.137776, 5.269, 0.016,1m005,lsc
NGC_6814,g,59836.138425, 5.277, 0.016,1m005,lsc
NGC_6814,g,59836.797441, 5.221, 0.020,1m013,cpt
NGC_6814,g,59836.798090, 5.246, 0.020,1m013,cpt
NGC_6814,g,59836.916372, 5.197, 0.030,1m012,cpt
NGC_6814,g,59836.917021, 5.167, 0.029,1m012,cpt
NGC_6814,g,59837.157241, 5.174, 0.016,1m009,lsc
NGC_6814,g,59837.157890, 5.188, 0.016,1m009,lsc
NGC_6814,g,59837.744782, 5.408, 0.022,1m013,cpt
NGC_6814,g,59837.745431, 5.363, 0.022,1m013,cpt
NGC_6814,g,59837.885140, 5.394, 0.024,1m013,cpt
NGC_6814,g,59837.885789, 5.394, 0.024,1m013,cpt
NGC_6814,g,59838.082982, 9.231, 0.031,1m009,lsc
NGC_6814,g,59838.083643, 9.044, 0.028,1m009,lsc
NGC_6814,g,59838.163291, 5.577, 0.036,1m005,lsc
NGC_6814,g,59838.163975, 5.582, 0.043,1m005,lsc
NGC_6814,g,59838.423667, 5.505, 0.040,1m003,coj
NGC_6814,g,59838.424327, 5.436, 0.026,1m003,coj
NGC_6814,g,59838.957055, 5.702, 0.016,1m014,tfn
NGC_6814,g,59838.957704, 5.688, 0.016,1m014,tfn
NGC_6814,g,59839.217761, 5.700, 0.014,1m006,elp
NGC_6814,g,59839.218399, 5.708, 0.014,1m006,elp
NGC_6814,g,59840.084100, 5.596, 0.014,1m008,elp
NGC_6814,g,59840.084749, 5.591, 0.014,1m008,elp
NGC_6814,g,59840.441135, 5.470, 0.015,1m003,coj
NGC_6814,g,59840.441796, 5.437, 0.014,1m003,coj
NGC_6814,g,59840.590627, 5.375, 0.016,1m003,coj
NGC_6814,g,59840.591276, 5.377, 0.016,1m003,coj
NGC_6814,g,59840.994660, 5.406, 0.018,1m004,lsc
NGC_6814,g,59840.995309, 5.397, 0.017,1m004,lsc
NGC_6814,g,59841.117088, 5.392, 0.017,1m004,lsc
NGC_6814,g,59841.117725, 5.467, 0.017,1m004,lsc
NGC_6814,g,59841.401697, 5.348, 0.013,1m003,coj
NGC_6814,g,59841.402347, 5.355, 0.013,1m003,coj
NGC_6814,g,59841.554558, 5.388, 0.014,1m003,coj
NGC_6814,g,59841.555207, 5.364, 0.014,1m003,coj
NGC_6814,g,59841.866502, 5.495, 0.024,1m010,cpt
NGC_6814,g,59841.867151, 5.442, 0.024,1m010,cpt
NGC_6814,g,59842.065263, 5.453, 0.015,1m009,lsc
NGC_6814,g,59842.065935, 5.446, 0.015,1m009,lsc
NGC_6814,g,59842.087061, 5.395, 0.017,1m004,lsc
NGC_6814,g,59842.087710, 5.447, 0.017,1m004,lsc
NGC_6814,g,59842.165968, 5.438, 0.019,1m004,lsc
NGC_6814,g,59842.166618, 5.446, 0.019,1m004,lsc
NGC_6814,g,59842.774125, 5.530, 0.021,1m013,cpt
NGC_6814,g,59842.774775, 5.524, 0.021,1m013,cpt
NGC_6814,g,59842.870475, 5.565, 0.023,1m010,cpt
NGC_6814,g,59842.871125, 5.515, 0.023,1m010,cpt
NGC_6814,g,59843.131551, 5.546, 0.018,1m004,lsc
NGC_6814,g,59843.132200, 5.521, 0.018,1m004,lsc
NGC_6814,g,59843.225907, 5.598, 0.014,1m008,elp
NGC_6814,g,59843.226568, 5.602, 0.014,1m008,elp
NGC_6814,g,59843.873878, 5.590, 0.015,1m001,tfn
NGC_6814,g,59843.874527, 5.537, 0.015,1m001,tfn
NGC_6814,g,59843.985278, 5.566, 0.015,1m014,tfn
NGC_6814,g,59843.985927, 5.563, 0.015,1m014,tfn
NGC_6814,g,59844.092942, 5.426, 0.018,1m004,lsc
NGC_6814,g,59844.093591, 5.468, 0.019,1m004,lsc
NGC_6814,g,59844.893927, 5.409, 0.015,1m001,tfn
NGC_6814,g,59844.894577, 5.429, 0.015,1m001,tfn
NGC_6814,g,59845.041796, 9.206, 0.024,1m009,lsc
NGC_6814,g,59845.042468, 8.414, 0.023,1m009,lsc
NGC_6814,g,59845.185240, 5.372, 0.014,1m008,elp
NGC_6814,g,59845.185889, 5.352, 0.014,1m008,elp
NGC_6814,g,59845.867190, 5.047, 0.022,1m010,cpt
NGC_6814,g,59845.867839, 5.069, 0.022,1m010,cpt
NGC_6814,g,59845.933150, 5.140, 0.029,1m012,cpt
NGC_6814,g,59845.933788, 5.211, 0.030,1m012,cpt
NGC_6814,g,59846.121053, 5.032, 0.013,1m005,lsc
NGC_6814,g,59846.121702, 5.016, 0.013,1m005,lsc
NGC_6814,g,59846.541285, 4.822, 0.015,1m011,coj
NGC_6814,g,59846.541937, 4.778, 0.015,1m011,coj
NGC_6814,g,59846.899946, 4.988, 0.078,1m012,cpt
NGC_6814,g,59846.900642, 5.510, 0.108,1m012,cpt
NGC_6814,g,59847.025787, 5.357, 0.022,1m004,lsc
NGC_6814,g,59847.026424, 5.330, 0.022,1m004,lsc
NGC_6814,g,59847.178513, 4.824, 0.015,1m005,lsc
NGC_6814,g,59847.179164, 4.796, 0.015,1m005,lsc
NGC_6814,g,59847.419117, 4.764, 0.013,1m003,coj
NGC_6814,g,59847.419778, 4.743, 0.013,1m003,coj
NGC_6814,g,59847.575260, 4.869, 0.016,1m003,coj
NGC_6814,g,59847.575909, 4.886, 0.016,1m003,coj
NGC_6814,g,59848.038351, 4.965, 0.014,1m009,lsc
NGC_6814,g,59848.039000, 4.984, 0.014,1m009,lsc
NGC_6814,g,59848.142890, 4.970, 0.015,1m009,lsc
NGC_6814,g,59848.143539, 4.925, 0.015,1m009,lsc
NGC_6814,g,59848.835721, 5.253, 0.020,1m013,cpt
NGC_6814,g,59848.836370, 5.258, 0.020,1m013,cpt
NGC_6814,g,59849.110221, 5.281, 0.015,1m009,lsc
NGC_6814,g,59849.110871, 5.262, 0.015,1m009,lsc
NGC_6814,g,59849.232697, 5.282, 0.015,1m006,elp
NGC_6814,g,59849.233346, 5.282, 0.015,1m006,elp
NGC_6814,g,59849.923702, 5.213, 0.113,1m013,cpt
NGC_6814,g,59850.017317, 5.228, 0.017,1m004,lsc
NGC_6814,g,59850.017954, 5.246, 0.017,1m004,lsc
NGC_6814,g,59850.172402, 5.274, 0.017,1m009,lsc
NGC_6814,g,59850.173051, 5.286, 0.017,1m009,lsc
